schoolid,schoolName,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,isPrivate
69999908165,Providence-Sbcs,Santa Barbara,93105,K,6,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999905528,Adventist Christian School,Ridgecrest,93555,1,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63680006232,Burroughs High,Ridgecrest,93555,9,12,High,No,No,No,No,360,2133,4,High,83.12,80.20859,FALSE
63680006242,Faller Elementary,Ridgecrest,93555,K,5,Elementary,No,No,No,Yes,2401,5789,3,Elementary,58.52,53.53656,FALSE
63680000434,Gateway Elementary,Ridgecrest,93555,K,5,Elementary,No,No,No,Yes,2093,5789,3,Elementary,63.85,59.70237,FALSE
69999906736,Heritage Montessori School,Ridgecrest,93555,PK,5,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999906843,Immanuel Christian School,Ridgecrest,93555,K,11,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63680006235,James Monroe Middle,Ridgecrest,93555,6,8,Middle,No,No,No,No,1769,2715,2,Middle,34.84,30.60251,FALSE
63680006236,Las Flores Elementary,Ridgecrest,93555,K,5,Elementary,No,No,No,Yes,2105,5789,3,Elementary,63.64,59.42811,FALSE
63680006237,Mesquite Continuation High,Ridgecrest,93555,9,12,High,No,No,No,Yes,1775,2133,1,High,16.78,14.86535,FALSE
63680006238,Murray Middle,Ridgecrest,93555,6,8,Middle,No,No,No,No,991,2715,3,Middle,63.5,56.25078,FALSE
69999953582,Anneliese's Schools,Laguna Beach,92651,K,3,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62037002453,El Morro Elementary,Laguna Beach,92651,K,5,Elementary,No,No,No,Yes,178,5789,5,Elementary,96.93,96.59921,FALSE
62037002454,Laguna Beach High,Laguna Beach,92651,9,12,High,No,No,No,No,88,2133,5,High,95.87,95.7988,FALSE
69999907076,Montessori School Of Laguna Beach,Laguna Beach,92651,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999940375,St Catherine Of Siena Parish School,Laguna Beach,92651,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62037002455,Thurston Middle,Laguna Beach,92651,6,8,Middle,No,No,No,No,89,2715,5,Middle,96.72,96.53852,FALSE
62037002456,Top of the World Elementary,Laguna Beach,92651,K,5,Elementary,No,No,No,No,116,5789,5,Elementary,98,97.44429,FALSE
61111008766,Amelia Earhart Elementary School of International Studies,Indio,92201,K,5,Elementary,No,No,No,Yes,1772,5789,3,Elementary,69.39,66.46755,FALSE
61111007694,Amistad High (Continuation),Indio,92201,9,12,High,No,No,No,Yes,1986,2133,0,High,6.89,10.94545,FALSE
61111001227,Andrew Jackson Elementary,Indio,92201,K,5,Elementary,No,No,No,Yes,4509,5789,1,Elementary,22.11,23.32378,FALSE
61111011017,Carrillo Ranch Elementary,Indio,92201,K,5,Elementary,No,Yes,No,Yes,3056,5789,2,Elementary,47.21,42.1839,FALSE
61111011244,Dr. Reynaldo J. Carreon Junior Academy,Indio,92201,K,5,Elementary,No,Yes,No,Yes,2271,5789,3,Elementary,60.77,55.67724,FALSE
