schoolid,schoolName,url,street_address,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,districtName,countyName,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,rankMovement,numberOfStudents,teachersFulltime,isPrivate
061062001183,Cesar Chavez Elementary,https://www.schooldigger.com/go/CA/schools/1062001183/school.aspx,1221 Anderson Rd.,Davis,95616,K,6,Elementary,No,Yes,No,No,Davis Joint Unified,Yolo County,430,5789,5,Elementary,92.57,93.13443,589,598,,False
061062012422,Da Vinci Charter Academy,https://www.schooldigger.com/go/CA/schools/1062012422/school.aspx,1400 E. Eighth St.,Davis,95616,7,12,High,Yes,Yes,No,No,Davis Joint Unified,Yolo County,103,2133,5,High,95.17,94.8805,247,581,,False
061062010344,Davis School for Independent Study,https://www.schooldigger.com/go/CA/schools/1062010344/school.aspx,526 B St.,Davis,95616,K,12,Other,No,No,No,No,Davis Joint Unified,Yolo County,,,,,,,,93,,False
061062001176,Davis Senior High,https://www.schooldigger.com/go/CA/schools/1062001176/school.aspx,315 W. 14th St.,Davis,95616,10,12,High,No,No,No,No,Davis Joint Unified,Yolo County,76,2133,5,High,96.44,96.13461,15,1823,,False
061062013626,Davis Special Education Pre-School,https://www.schooldigger.com/go/CA/schools/1062013626/school.aspx,1400 E. Eighth St.,Davis,95616,,,,No,(n/a),(n/a),(n/a),Davis Joint Unified,Yolo County,,,,,,,,,,False
069999906273,Davis Waldorf School,https://www.schooldigger.com/go/CA/schools/9999906273/school.aspx,3100 Sycamore,Davis,95616,PK,8,Private,(n/a),(n/a),(n/a),(n/a),,Yolo County,,,,,,,,,,True
061062005547,Fairfield Elementary,https://www.schooldigger.com/go/CA/schools/1062005547/school.aspx,26960 Co Rd. 96,Davis,95616,K,3,Elementary,No,No,No,No,Davis Joint Unified,Yolo County,,,,,,,,44,,False
061062011834,Fred T. Korematsu Elementary at Mace Ranch,https://www.schooldigger.com/go/CA/schools/1062011834/school.aspx,3100 Loyola Dr.,Davis,95616,K,6,Elementary,No,Yes,No,Yes,Davis Joint Unified,Yolo County,940,5789,4,Elementary,83.76,84.42412,-189,485,,False
061062001179,King (Martin Luther) High (Continuation),https://www.schooldigger.com/go/CA/schools/1062001179/school.aspx,635 B St.,Davis,95616,9,12,High,No,No,No,Yes,Davis Joint Unified,Yolo County,1548,2133,1,High,27.43,23.53422,-255,41,,False
063444011033,Clayton A. Record Junior Elementary,https://www.schooldigger.com/go/CA/schools/3444011033/school.aspx,1600 Malaga Dr.,San Jacinto,92583,K,5,Elementary,No,No,No,Yes,San Jacinto Unified,Riverside County,3087,5789,2,Elementary,46.67,41.68095,46,567,,False
063444014382,Edward Hyatt World Language Academy,https://www.schooldigger.com/go/CA/schools/3444014382/school.aspx,400 E. Shaver St.,San Jacinto,92583,K,8,Elementary,No,Yes,No,Yes,San Jacinto Unified,Riverside County,,,,,,,,418,,False
063444011032,Estudillo Elementary,https://www.schooldigger.com/go/CA/schools/3444011032/school.aspx,900 Las Rosas Dr.,San Jacinto,92583,K,5,Elementary,No,No,No,Yes,San Jacinto Unified,Riverside County,4568,5789,1,Elementary,21.09,22.68543,84,834,,False
063444005691,Monte Vista Middle,https://www.schooldigger.com/go/CA/schools/3444005691/school.aspx,181 N. Ramona Blvd.,San Jacinto,92583,6,8,Middle,No,No,No,Yes,San Jacinto Unified,Riverside County,1974,2715,1,Middle,27.29,25.71803,203,911,,False
063444007603,North Mountain Middle,https://www.schooldigger.com/go/CA/schools/3444007603/school.aspx,1202 E. Seventh St.,San Jacinto,92583,6,8,Middle,No,No,No,Yes,San Jacinto Unified,Riverside County,2206,2715,1,Middle,18.75,19.34739,-1,1027,,False
063444010060,Park Hill Elementary,https://www.schooldigger.com/go/CA/schools/3444010060/school.aspx,1157 E. Commonwealth Ave.,San Jacinto,92583,K,5,Elementary,No,No,No,Yes,San Jacinto Unified,Riverside County,4909,5789,1,Elementary,15.2,18.8806,-592,915,,False
063444013260,San Jacinto Early Childhood Education Center,https://www.schooldigger.com/go/CA/schools/3444013260/school.aspx,257 Grand Army,San Jacinto,92583,,,,No,(n/a),(n/a),(n/a),San Jacinto Unified,Riverside County,,,,,,,,,,False
063444005693,San Jacinto Elementary,https://www.schooldigger.com/go/CA/schools/3444005693/school.aspx,136 N. Ramona Blvd.,San Jacinto,92583,K,5,Elementary,No,No,No,Yes,San Jacinto Unified,Riverside County,4754,5789,1,Elementary,17.88,20.46555,-354,658,,False
063444005694,San Jacinto High,https://www.schooldigger.com/go/CA/schools/3444005694/school.aspx,500 Idyllwild Dr.,San Jacinto,92583,9,12,High,No,No,No,Yes,San Jacinto Unified,Riverside County,1462,2133,2,High,31.46,28.27117,-320,2748,,False
063444012794,San Jacinto Leadership Academy - Magnet,https://www.schooldigger.com/go/CA/schools/3444012794/school.aspx,1599 Malaga Dr.,San Jacinto,92583,6,8,Middle,No,Yes,No,Yes,San Jacinto Unified,Riverside County,449,2715,4,Middle,83.46,81.46252,-97,374,,False
060190012378,Alliance Piera Barbaglia Shaheen Health Services Academy,https://www.schooldigger.com/go/CA/schools/0190012378/school.aspx,8515 Kansas Ave.,Los Angeles,90044,9,12,High,Yes,No,No,Yes,Alliance Piera Barbaglia Shaheen HLT SRVs Academy District,Los Angeles County,1119,2133,2,High,47.54,44.60229,,487,,False
062271013065,Augustus F. Hawkins High A Critical Design and Gaming,https://www.schooldigger.com/go/CA/schools/2271013065/school.aspx,825 W. 60th St.,Los Angeles,90044,9,12,High,No,No,No,Yes,Los Angeles Unified,Los Angeles County,1499,2133,1,High,29.72,26.51363,-175,477,,False
062271013095,Augustus F. Hawkins High B Community Health Advocates,https://www.schooldigger.com/go/CA/schools/2271013095/school.aspx,825 W. 60th St.,Los Angeles,90044,9,12,High,No,No,No,Yes,Los Angeles Unified,Los Angeles County,1790,2133,1,High,16.08,14.51878,-299,401,,False
062271013166,Augustus F. Hawkins High C Rspnsbl Indigenous Soc Entrepr,https://www.schooldigger.com/go/CA/schools/2271013166/school.aspx,825 W. 60th St.,Los Angeles,90044,9,12,High,No,No,No,Yes,Los Angeles Unified,Los Angeles County,1917,2133,1,High,10.13,12.16442,-385,306,,False
062271003073,Bret Harte Preparatory Middle,https://www.schooldigger.com/go/CA/schools/2271003073/school.aspx,9301 S. Hoover St.,Los Angeles,90044,6,8,Middle,No,No,No,Yes,Los Angeles Unified,Los Angeles County,2641,2715,0,Middle,2.73,6.26961,-187,374,,False
062271002872,Budlong Avenue Elementary,https://www.schooldigger.com/go/CA/schools/2271002872/school.aspx,5940 S. Budlong Ave.,Los Angeles,90044,K,5,Elementary,No,No,No,Yes,Los Angeles Unified,Los Angeles County,5328,5789,0,Elementary,7.96,13.75106,-416,862,,False
