,zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_65_years_and_over,hhi_lt_25k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
93,90805,Los Angeles,Long Beach,466776,7,Long Beach,19081708,50914,64669,19700,0.019,45644,35036,6094,522,95995,13030.0,31.2,0.10297,0.03099,0.1691,0.09,28378,405300
94,90806,Los Angeles,Long Beach,466776,7,Long Beach; Signal Hill,8914729,54437,68969,22148,0.03099,30898,29861,2769,394,41990,12200.0,33.1,0.12396,0.05,0.165,0.04898,13309,466000
95,92676,Orange,Orange,139887,41,Lake Forest; Orange,171889627,104779,130139,52359,0.1959,45204,72292,61,162,2068,31.2,52.4,0.252,0.167,0.02802,0.03302,917,699500
96,91352,Los Angeles,Los Angeles,3966936,1,Los Angeles,30330373,57145,75344,21721,0.039,61364,50125,2560,484,47076,4020.0,35.7,0.134,0.037,0.146,0.05603,13150,488600
97,91354,Los Angeles,Santa Clarita,213411,18,Santa Clarita,22598254,128308,151516,49503,0.2479,91268,66500,599,2593,32544,3730.0,37.6,0.331,0.1959,0.027,0.047,10569,601700
98,91355,Los Angeles,Santa Clarita,213411,18,Santa Clarita,40136581,95696,114928,44956,0.1279,26518,70015,1334,1500,30526,1970.0,40.3,0.313,0.156,0.04,0.05,12002,563400
99,90241,Los Angeles,Downey,112322,59,Downey,12753184,72715,87522,28169,0.065,63061,53125,1525,854,43215,8776.0,36.0,0.1709,0.07,0.089,0.061,13912,582300
100,92562,Riverside,Murrieta,112941,58,Murrieta; Wildomar,283357968,92093,114669,36772,0.12,44444,52884,2051,2359,64286,587.5,37.3,0.205,0.104,0.053,0.076,20922,434700
101,94850,Contra Costa,Richmond,109884,62,Richmond,213582,77124,100043,36637,0.093,49466,58534,1741,932,33775,5316.0,38.2,0.2052,0.1345,0.09576,0.0535,12188,512366
102,95834,Sacramento,Sacramento,500930,6,Sacramento,25784173,64996,82671,30057,0.04102,63099,45167,2074,431,30076,3022.0,32.2,0.2041,0.13,0.134,0.06604,10880,359900
103,95835,Sacramento,Sacramento,500930,6,Sacramento,23131552,102895,124221,43468,0.12396,106094,75037,885,1696,40170,4496.0,38.2,0.3079,0.1659,0.03198,0.035,14180,398000
104,90732,Los Angeles,Los Angeles,3966936,1,Lomita; Los Angeles,8874357,104567,120512,47892,0.1709,41391,63817,895,1505,22780,6650.0,45.6,0.278,0.129,0.055,0.067,9424,615000
105,90740,Los Angeles; Orange,Long Beach,466776,7,Long Beach; Seal Beach,22741495,68947,109432,57424,0.139,33482,42727,2022,1748,24307,2768.0,58.3,0.301,0.1891,0.04,0.04,13709,370100
106,90742,Orange,Huntington Beach,200259,23,Huntington Beach,477324,82614,135067,74234,0.12103,61763,83523,23,46,692,3754.0,49.6,0.294,0.17,0.035,0.089,517,1117600
107,91307,Los Angeles; Ventura,Los Angeles,3966936,1,Bell Canyon; Los Angeles,20872692,120474,150111,50934,0.252,41391,63438,655,2179,26341,3268.0,44.7,0.319,0.18,0.026,0.05603,8935,660900
108,91311,Los Angeles; Ventura,Los Angeles,3966936,1,Los Angeles,83084167,91897,116153,42381,0.141,50250,70307,1693,2017,40839,1273.0,43.6,0.257,0.148,0.047,0.055,14595,616400
109,91316,Los Angeles,Los Angeles,3966936,1,Los Angeles,12968535,76978,114634,47593,0.113,80066,46082,2043,1399,30499,6092.0,41.3,0.285,0.2059,0.08,0.06604,12998,685300
110,91320,Ventura,Thousand Oaks,127873,46,Casa Conejo; Thousand Oaks,47233904,118986,150243,51206,0.2471,43947,84561,915,3702,44968,2466.0,42.3,0.299,0.2141,0.02802,0.04398,15622,695200
111,91371,Los Angeles,Los Angeles,3966936,1,Los Angeles,634412,73458,105756,43250,0.11755,41391,52628,2812,1360,37225,11300.0,37.4,0.2499,0.1455,0.1265,0.06683,14122,769723
112,95053,Santa Clara,Santa Clara,127721,47,Santa Clara,442316,115031,141358,3539,0.2263,69024,54305,1190,2888,3862,22610.0,19.4,0.1279,0.638,0.0546,0.07104,13087,937340
113,91214,Los Angeles,Los Angeles,3966936,1,Glendale; La Crescenta-Montrose; Los Angeles,19545239,104981,127997,43954,0.195,125547,65111,1197,2017,30787,4080.0,44.0,0.355,0.187,0.036,0.036,10912,777300
114,91304,Los Angeles; Ventura,Los Angeles,3966936,1,Los Angeles,24360118,70505,96794,32549,0.101,49261,61016,2524,1773,54361,5780.0,38.3,0.207,0.099,0.104,0.04898,18182,614500
115,91306,Los Angeles,Los Angeles,3966936,1,Los Angeles,10718170,69917,86522,27079,0.058,34464,54493,2397,843,49678,12010.0,37.0,0.2009,0.06396,0.11206,0.058,15176,520200
116,91342,Los Angeles,Los Angeles,3966936,1,Los Angeles; San Fernando; Santa Clarita,143234552,74050,87775,24976,0.058,40677,52734,3679,1447,94595,1710.0,35.4,0.1321,0.054,0.1,0.036,26666,462700
117,91342,Los Angeles,Santa Clarita,213411,18,Los Angeles; San Fernando; Santa Clarita,143234552,74050,87775,24976,0.058,40677,52734,3679,1447,94595,1710.0,35.4,0.1321,0.054,0.1,0.036,26666,462700
118,91343,Los Angeles,Los Angeles,3966936,1,Los Angeles,15310106,66661,88520,25575,0.075,46250,51621,3257,1345,66743,11290.0,34.0,0.2041,0.06198,0.1539,0.06604,18649,534500
119,91330,Los Angeles,Los Angeles,3966936,1,Los Angeles,872534,73458,105756,5897,0.11755,41391,52628,2812,1360,3257,9660.0,19.8,0.337,0.09296,0.1265,0.236,14122,769723
