"zip","rank","rankOf","rankStars","rankStatewidePercentage","averageStandardScore","has_elementary","has_middle","has_high"
"92130","91.25","4106.5","5","98.0825","97.639","1","1","1"
"92131","623","5276.66667","4.5","88.795","87.59251","1","1","0"
"92139","2130.57143","4827.57143","2.57143","56.09857","51.90326","1","1","1"
"92154","2854","4808.6","2","40.572","37.55878","1","1","1"
"92173","4083.83333","5276.66667","1","22.31833","23.19571","1","1","0"
"92201","2818.8","4443","1.6","34.706","34.02798","1","1","1"
"92211","1739","5789","3","69.96","67.10218","1","0","0"
"92220","3426.83333","4058","0.66667","15.77833","18.17206","1","1","1"
"92223","2387.71429","4305.28571","2.28571","43.72714","41.03978","1","1","1"
"92225","3432.6","4326.6","1.2","20.524","22.18999","1","0","1"
"92234","2622.22222","4293.44444","1.88889","38.49111","35.42094","1","1","1"
"92240","3676","4563.5","1.125","20.34","21.86193","1","1","1"
"92243","2731.83333","4570.33333","1.83333","40.67","36.71392","1","0","1"
"92251","1418.25","4106.5","3.5","69.1725","64.69302","1","1","1"
"92252","4090.5","5789","1.5","29.34","28.94324","1","0","0"
"92253","2198.57143","3866.14286","2","43.29","39.26632","1","1","1"
"92260","1168.8","4443","3.8","73.61","71.12603","1","1","1"
"92262","1685.75","4106.5","2.75","58.8875","53.68389","1","1","1"
"92264","2371.5","5789","3","59.035","55.50977","1","0","0"
"92274","3412.5","4033.75","0.875","17.9675","20.18184","1","1","1"
"92277","2859.42857","4827.57143","2.14286","44.42571","42.13786","1","1","1"
"92284","2466","3711.8","1.8","35.574","32.46019","1","1","1"
"92301","4564.22222","5447.44444","0.77778","15.40333","17.96285","1","1","0"
"92307","3775.33333","5179.66667","1.33333","28.295","27.94324","1","0","1"
"92308","3073.66667","5179.66667","2","41.18667","39.3306","1","0","1"
"92310","1594","4252","3","64.175","58.68596","1","1","0"
"92311","2899.83333","3545.66667","1.33333","23.37167","23.58112","1","1","1"
"92313","2162.25","4106.5","2","45.05","41.29966","1","1","1"
"92324","3860.88889","5041.22222","1.11111","24.37444","24.86962","1","1","1"
"92335","3368.55556","4699.66667","1.55556","29.09667","29.05507","1","1","1"
"92336","1820.55556","4293.44444","2.44444","51.33333","48.58678","1","1","1"
"92337","2573.5","4326.6","1.9","40.442","37.10267","1","0","1"
"92344","2394.2","3711.8","1.8","35.144","33.32987","1","1","1"
"92345","3125.5","4033.75","1.375","25.04125","25.28084","1","1","1"
"92346","2631.5","5404.75","2.625","52.17375","50.76078","1","1","1"
"92354","1492","5789","4","74.23","72.41906","1","0","0"
"92359","3289","5789","2","43.19","38.34455","1","0","0"
"92368","5731","5789","0","1","5.9228","1","0","0"
"92373","1403","4827.57143","3.71429","73.63","71.05744","1","1","1"
"92374","1879.71429","4388.42857","3.14286","60.57429","56.46866","1","1","1"
"92376","4118.1","5116","0.8","20.397","22.30786","1","1","1"
"92377","2538","4155","1.83333","38.61","36.50017","1","1","1"
"92392","2391.75","3576.75","1.75","35.25","34.16582","1","1","1"
"92399","2258.625","4490.75","2.125","45.8225","43.67981","1","1","1"
"92404","3419","4471.57143","1.42857","28.02143","29.81082","1","1","0"
"92405","3884.625","4947.75","1.375","25.23","25.7007","1","1","1"
"92407","2390.125","4947.75","2.625","52.055","48.70413","1","1","1"
"92408","3443.14286","4744.42857","1.71429","32.50571","31.2569","1","0","1"
"92410","2994.88889","4635","1.77778","39.63444","38.70566","1","1","1"
"92411","3493.71429","4827.57143","1.57143","28.93286","28.90901","1","1","1"
"92501","2385.83333","3961","1.83333","35.98333","34.19521","1","0","1"
"92503","2679.16667","3545.66667","1.5","28.38167","27.88124","1","1","1"
"92505","3123.83333","4058","1","25.155","25.33979","1","1","1"
"92506","2110.16667","4155","2.33333","43.90167","39.54905","1","1","1"
"92507","2554.88889","4228.77778","2.22222","41.92222","39.41704","1","1","1"
"92509","3193.375","5020.5","1.625","35.60625","33.16544","1","1","0"
"92530","3785.25","4490.75","0.75","17.70625","19.99665","1","1","1"
