property_id,prop_type,year_built,is_new_construction,beds,baths_full,baths_half,garage,price,lot_size,building_size,line,neighborhoods,city,county,state_code,postal_code
O1556449341,condo,1988.0,False,2.0,2,,1,635000,None,1079,110 Copper Ridge Rd,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O1905305551,single_family,1999.0,False,4.0,2,1.0,3,2020000,15050,3919,2227 Ashbourne Dr,['Norris Canyon Estates'],San Ramon,Contra Costa,CA,94583
O1064989606,condo,1988.0,False,1.0,1,,1,489000,None,778,194 Copper Ridge Rd,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O2415818669,single_family,1978.0,False,4.0,3,,3,1525000,8000,2586,3715 Segovia Ct,['Twin Creeks'],San Ramon,Contra Costa,CA,94583
O2648991670,single_family,1995.0,False,4.0,3,,3,1650000,8100,2980,612 Peaceful Valley Dr,['Dougherty Valley'],San Ramon,Contra Costa,CA,94582
O2567565586,single_family,1971.0,False,3.0,2,,None,1133000,7000,1849,9622 Davona Dr,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O1094429701,single_family,2013.0,False,2.0,2,1.0,2,865000,2505,1265,1012 Applewood Dr,"['Dougherty Valley', 'Gale Ranch']",San Ramon,Contra Costa,CA,94582
O2740852219,single_family,1979.0,False,4.0,3,,3,1700000,9265,3381,2957 Ascot Dr,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2733399030,single_family,1976.0,False,4.0,3,,None,556000,8360,2209,3392 Camarones Pl,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2235165545,single_family,2009.0,False,3.0,2,1.0,2,977000,1172,2050,5226 Fioli Loop,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O2527392900,single_family,1968.0,False,4.0,2,,2,1300000,10500,1711,9430 Olympia Fields Dr,"['Royal Vista', 'Southern San Ramon']",San Ramon,Contra Costa,CA,94583
O2799940106,single_family,2005.0,False,4.0,3,1.0,3,1675000,7104,3269,2912 Silva Way,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O1063122887,single_family,2007.0,False,4.0,3,1.0,3,1880000,9082,3544,6211 Murdock Way,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O1717089642,single_family,2016.0,False,3.0,2,1.0,2,1275000,2520,1996,2022 Trefoil Rd,['Dougherty Valley'],San Ramon,Contra Costa,CA,94582
O1021427525,single_family,1989.0,False,3.0,2,1.0,None,1250000,6300,2452,6110 Lakeview Cir,"['Dougherty Hills', 'Canyon Lakes']",San Ramon,Contra Costa,CA,94582
O2989820873,condo,1982.0,False,,None,,None,1757500,3357,4944,10 Crow Canyon Ct Ste 210,['Crow Canyon'],San Ramon,Contra Costa,CA,94583
O2730007829,single_family,1977.0,False,4.0,2,,2,1220000,7000,1520,9932 Broadmoor Dr,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
