zip,schoolid,rank,rankOf,rankStars,rankStatewidePercentage,averageStandardScore,isPrivate,has_elementary,has_middle,has_high
95632,61480131054.0,1784.375,4033.75,2.875,54.651250000000005,51.44071375000001,0.0,True,True,True
95648,63318854097.333336,1602.8333333333333,5276.666666666667,3.5,69.58666666666666,66.30093666666666,0.0,True,True,False
95650,62392505649.0,769.0,5179.666666666667,4.166666666666667,84.99333333333333,84.74587333333334,0.0,True,False,True
95655,65245860439.5,2671.5,5789.0,2.5,53.85,53.77155,0.0,True,False,False
95660,60133205912.3,3417.0,4875.0,1.5,29.18625,27.86756875,0.0,True,False,True
95661,62481007102.14286,1110.8,4443.0,4.2,79.5,77.95938,0.0,True,True,True
95662,62236221152.0,1376.5714285714287,4388.428571428572,3.2857142857142856,66.75857142857141,63.183460000000004,0.0,True,True,True
95667,63522229260.75,1122.8,3213.4,3.4,67.13000000000001,61.98625,0.0,True,True,True
95670,61648128183.5,2772.0,4305.285714285715,1.7142857142857142,33.49,32.94685285714286,0.0,True,True,True
95673,60148048557.28571,2200.3333333333335,4155.0,2.3333333333333335,50.19833333333333,47.572471666666665,0.0,True,True,True
95677,60028991378.833336,873.5,5276.666666666667,4.0,83.39666666666666,83.54422833333332,0.0,True,True,False
95678,63360863913.28571,2190.285714285714,4305.285714285715,2.4285714285714284,46.93142857142857,44.09354428571429,0.0,True,True,True
95682,61074519148.0,917.6666666666666,4155.0,3.8333333333333335,80.10833333333333,78.447755,0.0,True,True,True
95683,61233001394.0,636.0,5789.0,4.0,89.01,90.11751,0.0,True,False,False
95687,64035007820.5,2629.5714285714284,5266.714285714285,2.4285714285714284,53.49857142857143,50.14625142857143,0.0,True,False,True
95688,63628363443.333336,1726.5555555555557,4635.0,3.0,60.67222222222222,56.90399000000001,0.0,True,True,True
95691,63280811292.333336,1871.8333333333333,5179.666666666667,3.1666666666666665,63.673333333333325,60.805351666666674,0.0,True,True,True
95695,64907620236.0,3412.714285714286,4910.714285714285,1.4285714285714286,31.261428571428574,29.69824,0.0,True,True,True
95713,62002502860.5,1536.0,3961.0,3.5,69.62,66.081485,0.0,True,False,True
95747,62530886568.25,906.875,5404.75,4.375,83.715,83.84941125,0.0,True,True,False
95757,61233009986.8,802.1,4077.4,3.7,78.80199999999999,77.96462900000002,0.0,True,True,True
95758,61115964195.0,1792.111111111111,4635.0,3.0,60.39999999999999,56.04538888888889,0.0,True,True,True
95762,60855312123.333336,677.5,5789.0,4.5,88.29499999999999,89.052375,0.0,True,False,False
95765,60113491047.1,904.625,5404.75,4.375,83.81249999999999,83.88023375,0.0,True,True,False
95776,64408771213.4,2220.5,3961.0,2.5,51.295,46.992655,0.0,True,False,True
95814,63384014056.0,2722.0,5789.0,3.0,52.98,47.70048,0.0,True,False,False
95816,63384005259.0,873.5,4252.0,4.0,80.845,79.61481,0.0,True,True,False
95817,61776607143.75,3733.25,4875.0,0.75,20.3025,21.852040000000002,0.0,True,False,True
95818,63384006721.375,2102.25,4033.75,2.5,50.49875,49.282105,0.0,True,True,True
95819,63384005262.75,609.75,4875.0,4.25,85.975,85.1565275,0.0,True,False,True
95820,62596144617.125,3414.5,4418.0,1.625,27.435,27.77829625,0.0,True,False,True
95821,62241296054.125,2612.4285714285716,4305.285714285715,2.142857142857143,42.540000000000006,40.84015142857142,0.0,True,True,True
95822,63384007090.111115,4381.666666666667,5789.0,1.1666666666666667,24.310000000000002,27.040388333333336,0.0,True,True,False
95823,61840027735.22222,3551.1428571428573,4827.571428571428,1.4285714285714286,25.965714285714284,25.450217142857145,0.0,True,True,True
95824,63384005765.666664,4104.333333333333,4764.333333333333,0.6666666666666666,13.396666666666667,15.86734833333333,0.0,True,True,False
95825,65342240869.0,4006.4,4326.6,0.2,6.7459999999999996,11.747207999999999,0.0,True,False,True
95826,62481264584.14286,2578.3333333333335,5276.666666666667,2.8333333333333335,51.321666666666665,46.49017166666667,0.0,True,True,False
95827,64337124854.5,3165.1666666666665,3961.0,1.3333333333333333,28.186666666666667,29.388091666666668,0.0,True,False,True
95829,61233008481.2,1406.8,4443.0,3.6,67.97200000000001,63.399468,0.0,True,True,True
95831,63384005823.666664,2903.1666666666665,5179.666666666667,2.1666666666666665,46.56333333333333,46.39676833333334,0.0,True,False,True
95833,60052204644.875,3371.0,4947.75,1.625,32.90375,32.61804625,0.0,True,True,True
95834,60047922918.5,1649.875,3576.75,2.75,52.21000000000001,50.289860000000004,0.0,True,True,True
95835,60044397800.125,2218.4285714285716,4827.571428571428,2.7142857142857144,52.51571428571429,49.97775571428571,0.0,True,True,True
95838,60803587176.4,3308.0,4222.142857142857,1.2857142857142858,27.051428571428573,27.00390285714286,0.0,True,False,True
95841,61797606479.0,2907.0,5789.0,2.0,49.78,44.53171,0.0,True,False,True
95842,60133204473.0,2896.6666666666665,4667.333333333333,1.8333333333333333,39.12166666666667,36.23358666666667,0.0,True,True,True
95843,61195564555.55556,1969.5555555555557,4228.777777777777,2.6666666666666665,55.87222222222223,51.68126000000001,0.0,True,True,True
95864,63054683006.25,1715.142857142857,4305.285714285715,3.0,62.01,60.48582428571429,0.0,True,True,True
95901,62904583540.44444,2906.714285714286,4910.714285714285,2.142857142857143,41.32285714285714,39.40145142857143,0.0,True,True,False
95926,60621284061.333336,2098.0,4155.0,2.6666666666666665,54.89500000000001,52.57641833333333,0.0,True,True,True
95928,61379419679.0,2053.0,4764.333333333333,3.0,61.45499999999999,60.07259333333334,0.0,True,True,True
95945,63084742167.44444,1966.8333333333333,4667.333333333333,2.6666666666666665,56.583333333333336,51.88229333333334,0.0,True,True,True
95949,62720151228.85714,1352.2,4443.0,3.6,69.804,66.313106,0.0,True,True,True
95953,62019530987.25,1675.1666666666667,4058.0,2.8333333333333335,56.946666666666665,52.104773333333334,0.0,True,True,True
95954,62982006430.333336,,,,,,0.0,True,False,True
95959,64349066399.85714,1677.0,4570.333333333333,2.6666666666666665,52.43666666666667,51.53384333333333,0.0,True,False,True
95961,62621706019.0,2961.4,4750.4,1.8,38.36299999999999,38.215101999999995,0.0,True,True,True
95965,64694607812.44444,3266.3333333333335,4764.333333333333,1.3333333333333333,29.810000000000002,28.74998666666667,0.0,True,True,True
95966,63889958600.6,2745.0,3545.6666666666665,1.3333333333333333,26.95,26.159876666666666,0.0,True,True,True
