zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
94116,San Francisco,San Francisco,874961,4,San Francisco,6699043,116089,163000,57758,0.262,71542,145174,146382,68342,16224,1711,1815,1914,1430,3225,1875,4254,47346,18300.0,44.4,0.3618,0.188,0.02301,0.048,16929,1080100
95928,Butte,Chico,94529,81,Butte Creek Canyon; Chico; Durham,356023064,52913,81407,32216,0.076,27447,58271,80142,50255,14473,3972,3019,2109,1358,1901,1007,1107,37735,274.5,31.5,0.262,0.131,0.152,0.1,16436,343000
95973,Butte; Tehama,Chico,94529,81,Chico; Cohasset; Nord,861894938,69551,96386,38021,0.085,47167,72206,92715,55500,14219,2474,2700,2514,1885,2458,974,1214,36682,110.2,36.4,0.2471,0.129,0.063,0.038,15236,353000
95991,Sutter,Yuba City,66516,133,Yuba City,105392471,50682,66763,23936,0.03,36842,50419,64519,36689,14432,3507,3628,2614,1643,1904,703,433,40861,1004.0,33.9,0.105,0.05,0.1659,0.09705,15343,246700
90063,Los Angeles,East Los Angeles,121187,52,East Los Angeles; Los Angeles,8475626,48559,63963,17698,0.02199,43314,48853,62179,28788,13686,2891,4114,2584,1750,1628,417,302,53980,16500.0,31.9,0.084,0.02,0.156,0.08,14394,406600
90063,Los Angeles,Los Angeles,3966936,1,East Los Angeles; Los Angeles,8475626,48559,63963,17698,0.02199,43314,48853,62179,28788,13686,2891,4114,2584,1750,1628,417,302,53980,16500.0,31.9,0.084,0.02,0.156,0.08,14394,406600
90064,Los Angeles,Los Angeles,3966936,1,Los Angeles,10388700,102117,163066,71214,0.265,48145,109320,128155,62458,11083,1634,1398,1285,1100,1530,1199,2937,25925,6464.0,40.3,0.3608,0.3171,0.047,0.03302,11998,1178000
90065,Los Angeles,Los Angeles,3966936,1,Los Angeles,13672051,67479,98376,34334,0.109,38594,80262,72917,54707,15414,2688,2970,2521,1748,2452,1353,1682,46461,8800.0,37.2,0.245,0.115,0.11,0.076,16429,706900
90066,Los Angeles,Los Angeles,3966936,1,Culver City; Los Angeles,12745916,83899,117608,52713,0.155,54226,94722,93096,53650,25785,3516,4046,3931,3594,4372,2338,3988,59167,12024.0,38.1,0.325,0.22,0.069,0.054,26937,1121400
90067,Los Angeles,Los Angeles,3966936,1,Los Angeles,849911,118393,217532,129379,0.31,41391,105699,115268,134779,1421,214,227,106,37,205,191,441,2428,7400.0,66.4,0.394,0.294,0.01401,0.06198,2042,1146700
90068,Los Angeles,Los Angeles,3966936,1,Los Angeles,20067144,88535,157859,86299,0.24,41391,83634,108628,94440,11316,1679,1726,1412,1135,1692,953,2719,21092,2722.0,42.5,0.4082,0.249,0.018,0.091,13943,1228400
90069,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Hollywood,5475727,93380,145432,92082,0.198,48958,107681,101622,56113,12488,1826,1700,1677,1514,2216,1079,2476,20230,9570.0,42.9,0.433,0.241,0.02301,0.04898,14447,846700
90090,Los Angeles,Los Angeles,3966936,1,Los Angeles,599382,73458,105756,43250,0.11755,41391,80821,82962,52628,13101,2812,2665,2032,1527,1955,953,1360,37225,11300.0,37.4,0.2499,0.1455,0.1265,0.06683,14122,769723
90293,Los Angeles,Los Angeles,3966936,1,Los Angeles,7403899,105865,148294,78988,0.2091,41391,116451,83269,105765,6604,612,918,776,686,1444,790,1378,12728,4452.0,37.9,0.444,0.28,0.03302,0.03,7058,800400
